stem,cls,split,phash,w,h,n_boxes
benign (420),benign,test,1010001110001001000111000001001001100111111001111110100111101000,768,574,1
benign (421),benign,train,1011011010011011110010111100110111001100101100100010001100100100,551,487,1
benign (422),benign,test,1111111011101111110001011110000010000010100000111001001111000111,768,487,1
benign (423),benign,val,1110100011111100100011011000100111001100100001101001011010011010,561,470,1
benign (424),benign,train,1100100110111011011101001001100010100100110011010001011110000110,544,469,2
benign (425),benign,train,1001010111100100011010111001111101010010000100100000110011101101,544,469,1
benign (426),benign,train,1100010111001101001111011001100011101000011110000001111010000011,549,465,1
benign (427),benign,train,1111000010100011001011111000110111100111011010000110000000111100,780,380,1
benign (428),benign,train,1100101011111001101101111000011110111000001001001011010000010100,769,382,1
benign (429),benign,test,1011000011110000011010111000010110001110010010111100001110010101,582,437,1
benign (43),benign,train,1010000010010100010010100110100011100001111100111000111110111000,554,495,1
benign (430),benign,train,1010011110111001011010001101100010010110110001101000111011000110,768,581,1
benign (431),benign,train,1010011011101001010010010000110101011101001010001110101110000111,582,431,1
benign (432),benign,train,1101101111100001000001011001110110011010101100110011000111100101,469,394,1
benign (433),benign,val,1111000110010001100011111100111011001110111011100010110000000010,550,462,1
benign (434),benign,train,1000000111100010110011011001010010011100011010000110101011111000,501,609,1
benign (435),benign,test,1001000111010011111011001100110011001100100011101001111000100000,552,469,1
benign (436),benign,train,1110011110111100001110001100101101001001010111010110011101000100,502,474,1
benign (437),benign,train,1100111110110101011110000100101000100010100110101001110101011101,768,585,1
benign (44),benign,val,1011001110011000010011000100011111101111101100000011100010111010,777,580,1
benign (45),benign,test,1010010110111000001100011100011111001010101110001011100010110010,775,580,1
benign (46),benign,train,1100000010110001001010111100110000011100110000111011001010110110,561,468,1
benign (47),benign,test,1010011010111010001110100111000100010101110001011110011111000000,763,585,1
benign (48),benign,train,1000111110111001110001001100011001111001010110110011010110000001,775,583,1
benign (49),benign,train,1010000111101000110111101001010100110001110111101001001100100000,777,576,1
benign (5),benign,train,1001010011100000011010011000111111010011100100011010110011001100,549,496,1
benign (50),benign,val,1110010110011110011000101000001111010011001111001011110011000001,884,581,1
benign (51),benign,train,1001010011110110011110000101100111000001011001110010011010000110,357,338,1
benign (52),benign,train,1100011010001101101010010110100100111011100110101100011010010010,370,338,1
benign (53),benign,train,1011100111000101100001100001001011110011111010011100100110010110,552,492,1
benign (54),benign,train,1011010111001101010011000001001110010001011100110110110101101100,616,468,2
benign (55),benign,test,1000110111110010011101100000010100111001010010101000111010011011,763,614,1
benign (56),benign,train,1001010010110110011110100100110101000101111000000011000100111011,806,711,1
benign (57),benign,test,1001100010110000101111100101101011001001110010011100100111000001,555,470,1
benign (58),benign,train,1110011110111000011110000100101110000111100001111000011011000111,781,572,2
benign (59),benign,train,1110010111001001110010011001111010010110101101100011010000100110,563,468,1
benign (6),benign,train,1001011110101101111011011001001010010010011010000111000001101101,558,467,1
benign (60),benign,train,1000100010000100111101000111011110101010001010110001101100001011,759,598,1
benign (61),benign,val,1000000010100000001111101100010001110010100110111101001111011000,773,578,1
benign (62),benign,train,1001011111111000100010001011011101101000001010100000011101101111,389,594,1
benign (63),benign,train,1001100110010110100011100110101001000010101101010011111010011001,608,660,1
benign (64),benign,train,1001110110010100100101111100010111010001110100011100000011011101,610,471,1
benign (65),benign,train,1101011011100000001010011001110111110010100100101001101011101001,564,474,1
benign (66),benign,val,1011011111101011110110101001010000010100010010011100100111110100,562,473,1
benign (67),benign,train,1101000010101101100000100011110110010001111000100010111110110001,516,467,1
benign (68),benign,test,1011010111100010100100111001010111001100110100101001100011101100,682,587,1
benign (69),benign,train,1001010111110111011110100100100001100110011001110010010110010000,811,719,1
benign (7),benign,train,1101111011111001001001010100011101100110001111101000110010100001,624,578,1
benign (70),benign,val,1000010111010011111100100101011001010100100001011000101110110001,713,475,1
benign (71),benign,train,1111101111100001101001001001110010011010111010001101000111010011,554,469,1
benign (72),benign,train,1110000010011110101001011110000111110011000111000001100011110000,557,465,1
benign (73),benign,val,1011010001101010100110101001110010110101100100111001000110110100,557,471,1
benign (74),benign,train,1001100111100100011000100011100101111101010111101001001110000010,561,467,1
benign (75),benign,train,1100010010110011001011000010110001110011110100011000111011001100,685,578,1
benign (76),benign,train,1001100011111100011000110000011111000111101110000011000010101100,848,685,1
benign (77),benign,val,1001100010101000111001011101001011010010110101011100010111000001,551,488,1
benign (78),benign,train,1101001011111011001011001000010110001100110110101011001110000001,777,576,1
benign (79),benign,train,1011000011110000110110011100111110001101000011001100110001001100,648,604,1
benign (8),benign,train,1110100110100111000101100101100001111100001011101010011011001010,617,585,1
benign (80),benign,val,1001011111101001110010101001011001101000110010100011001101001101,561,473,1
benign (81),benign,train,1111110011100010100000101101100100101101001111010110110011010100,563,464,1
benign (82),benign,test,1101011011011100000110100000111011101100110100101001101100101100,656,458,1
benign (83),benign,train,1111000111101001001010100011011110010110110001101100011000110001,581,432,2
benign (84),benign,val,1101010101000100100100111001011001000110101011000110110111011011,839,510,1
benign (85),benign,test,1001011110101101111100101111000011001000110010001001000110111001,561,465,1
benign (86),benign,train,1001101111101110011101000101000010001001011010000111100110011110,777,578,1
benign (87),benign,train,1010000110101000011110001100011011000110110100101011011011001100,768,571,1
benign (88),benign,test,1010010111010100100001111010010101011010000110111100000111111000,873,560,1
benign (89),benign,train,1100101011101110001101111011010110110000110000001000111010001100,893,576,1
benign (9),benign,train,1100001111111000101101001100011011100001001111011000111010000010,752,585,1
benign (90),benign,test,1011001110001011010010110011100001110000011111110011011110100000,772,574,1
benign (91),benign,train,1000010010000100011110000011001101101011010110101101000111010101,806,704,1
benign (92),benign,val,1001000011100011110011110001110010010100100011000110100001110011,763,612,2
benign (93),benign,train,1011010010011110000111110100100111111100011100000110000011100001,561,466,2
benign (94),benign,val,1000000010100000001111101100010000110000100110111111001111011001,767,583,1
benign (95),benign,train,1000100110000100010000100101001011110100101000001111110111011111,558,470,1
benign (96),benign,test,1100000010111001111000110100111000110011111100011001110010000000,767,574,1
benign (97),benign,train,1001010011010101011101010110010001101000100100011001010110010111,592,470,1
benign (98),benign,train,1001000110000000110010101011010100100101110100110011101111001011,795,558,2
benign (99),benign,val,1101011011100000001010011001110111110010100100101001101011101001,554,471,1
malignant (1),malignant,train,1101101011101000100001011001010100111110010111100011001001101001,449,598,1
malignant (10),malignant,train,1101011110100110000010101000100110110001110110111100001110100111,462,393,1
malignant (100),malignant,train,1011000110100011110111101100100010001000101100001111101010110010,557,476,1
malignant (101),malignant,train,1111000111010001000010011010010001100110001101101001111111100110,883,559,1
malignant (102),malignant,train,1001000111000101010001000011001000110011100011011100111101011110,916,551,1
malignant (103),malignant,train,1011001111000011010011010010110000111000011110011011000110111010,555,488,1
malignant (104),malignant,test,1011010011000010100110011011100101101001011101100011011001000011,554,494,1
malignant (105),malignant,val,1101010110100000001000011100111111011110100101010110010011010110,577,450,1
malignant (106),malignant,train,1001001110000000000011000101010111100111100001111001110111011011,667,458,1
malignant (107),malignant,val,1001000111101011000011110101010011110000111000001000110111001010,576,454,1
malignant (108),malignant,test,1000000010000000100001011100000100111110110001111101011110110011,660,459,1
malignant (109),malignant,train,1101001110110010001010001111100011010110101001010011100110111000,552,471,1
malignant (11),malignant,train,1000111111111000000110101110001001000000100111011101100111000111,471,393,1
malignant (110),malignant,train,1010001111011000000111001110001001001111100111001011010010110010,557,470,1
malignant (111),malignant,train,1010000010010101110010110100100100110101011011000011101100101100,421,470,1
malignant (112),malignant,train,1101011110100110000011101000100110110001110110111100001100100111,549,471,1
malignant (113),malignant,train,1000010011000001010110011000011101000111100101001000101111011110,745,482,1
malignant (114),malignant,val,1010000111110000110111101100111111100101011001000010000010110000,340,439,1
malignant (115),malignant,train,1010010010000100110011100101101100011011101110010111000101100100,581,438,1
malignant (116),malignant,train,1000110010011010101100101010011110100101011001010110100101101000,582,434,1
malignant (117),malignant,train,1000010010011100011100000110001101000011100001111001111100111100,611,434,1
malignant (118),malignant,train,1110000011001000100110111001001100101111011010101110000011100100,562,473,1
malignant (119),malignant,train,1110000011001000100110110001011100101111011010101110001001100100,564,469,1
malignant (12),malignant,train,1010001111011001000101001110001001001101100111001011010010110011,479,392,1
malignant (120),malignant,train,1110000111100110100111111001100101100100011010001100000011100110,564,470,1
malignant (121),malignant,train,1100000010011010001111010011110100110000110001111101000101100001,562,476,1
malignant (122),malignant,test,1110000111110100100111101000101110100011001000001110010110100011,554,467,1
malignant (123),malignant,test,1010000011110000110111101100111111001001011001000010010010110000,321,483,1
malignant (124),malignant,train,1111000010010101110111101000111011101001000011110000100110110000,545,494,1
malignant (125),malignant,val,1010010010011000010110111000101110110000111001101111001001110000,557,465,1
malignant (126),malignant,train,1111000110010001000011100101111011001010111000111011001100100110,557,478,1
malignant (127),malignant,train,1010010010010110110011101100000111000011110110110001001101101000,591,464,1
malignant (128),malignant,train,1010000010000010110010011100100010011001110011101101010011110110,625,468,1
malignant (129),malignant,train,1011001010010011110000011100110010001001110011101100011011010110,569,458,1
malignant (13),malignant,train,1100001110110010001010001111100011010110101001001011100110111000,468,393,1
malignant (130),malignant,train,1101011111001101100110110101101001100100001001111001100010110100,555,463,1
malignant (131),malignant,train,1001110111010101111001011100010101011010001100001010010110010101,604,461,1
malignant (132),malignant,train,1011100011101110110101011001000001101010010010110011100001100101,451,581,1
malignant (133),malignant,train,1010100011100101110100001101001001010011110010011100110110001001,479,485,1
malignant (134),malignant,test,1110111010111001000110110110001101100101001111000000010111010011,556,467,1
malignant (135),malignant,test,1001100010100111010011001001111000110011111100011000110010000011,933,571,1
malignant (136),malignant,test,1110110111101100101001111000011100010011000110110001100110011001,190,335,1
malignant (137),malignant,train,1110010110111101100100011100000111101010110110100100011001000110,233,339,1
malignant (138),malignant,train,1111000110010000010011100000111000111001101001001111011011001111,556,467,1
malignant (139),malignant,train,1011100110110010111000101100001011000101100011011110010011111000,549,474,1
malignant (14),malignant,test,1011000011110000110111101100111111100001011001000010010010110000,273,398,1
malignant (140),malignant,train,1010001011101100101001011100000010010010100111110101101011011000,546,463,1
malignant (141),malignant,train,1000100111100100010101001001101010110010110100110110010110001101,588,434,1
malignant (142),malignant,train,1110000110011111010110000110000101100111000111101000101110001001,556,465,1
malignant (143),malignant,val,1100010010110001001011100110111010001111101100001011000111000100,562,467,1
malignant (144),malignant,train,1110000110010111100111100100110001101000111010000000101111010011,544,470,1
malignant (145),malignant,val,1111000110010001100011111100111011001110111011100010110000000010,550,462,1
malignant (146),malignant,train,1101010001110000100010111100111100111101100011001010010010010011,575,432,1
malignant (147),malignant,test,1011010111010101110011100000101010100011001001110100101011011001,552,471,1
malignant (148),malignant,train,1100000011111101001111101001000001000001011001010001100110001111,556,463,1
malignant (149),malignant,train,1110110110010001110100000001011000101111001111011111000011001110,763,572,1
malignant (15),malignant,val,1000000010010101110011111100101100110100011001000011101100100100,361,398,1
malignant (150),malignant,val,1110010011111000110101010011110000011100001001110110101010000101,557,463,1
malignant (151),malignant,val,1100011110000101100111010111101111101010101010000010110000001110,513,467,1
malignant (152),malignant,train,1110011010001110100110010011001101111001100110101100101010000101,776,574,1
malignant (153),malignant,test,1010011010100111110001101001101100011001010111011001100100010100,650,603,1
malignant (154),malignant,train,1110000010111101010001001100000010011011101110110100011111100000,556,464,1
malignant (155),malignant,train,1011010110000011010011101001111010011011100010001101000011110101,551,487,1
malignant (156),malignant,test,1100010010110010100000011110010111001011110110010011010010110100,562,457,1
malignant (157),malignant,train,1011001011001011111011000000011111010010100110101101101010100000,564,471,1
malignant (158),malignant,train,1111001111101110100101011001000100011101010111010101100000011010,313,444,1
malignant (159),malignant,val,1110000111001011000010010011110101010010101100110001111010001110,556,482,1
malignant (16),malignant,val,1011010111000001110000101110101011001101110011101110000010110010,511,472,1
malignant (160),malignant,test,1110100110001001100111011101111000110110011001101011001000110000,626,587,1
malignant (161),malignant,train,1010100111100001111011001000011000000110110000101101011011101101,694,576,1
malignant (162),malignant,train,1001101010101011100000011101010110110110100011001101100001011010,620,587,1
malignant (163),malignant,val,1101000110010100100100001111001001001010110100110010111111001110,643,570,1
malignant (164),malignant,train,1110000010111001100110011001100011001011101001111100010011100000,551,473,1
malignant (165),malignant,train,1111100011010001100101011001111110101110011001010100010101000100,505,332,1
malignant (166),malignant,train,1001010111001001011000101110000011110000111110001001010111000111,555,488,1
malignant (167),malignant,train,1000101010010011110001000111110000110011001101000001101111000111,563,459,1
malignant (168),malignant,train,1110011011010110100110010001100100111001011000011010101011100110,557,469,1
malignant (169),malignant,train,1001110110011111010010101100000010110011001100111000110110011100,557,463,1
malignant (17),malignant,test,1011100010100010111011101001110110001001011010100111001000100101,765,590,1
malignant (170),malignant,train,1111000111100001100001001000010100001111110111101111001010111000,556,463,1
malignant (171),malignant,train,1010000010000101000101111101101011011010000111010011000101100011,624,589,1
malignant (172),malignant,train,1011000111010001110101011011010010011101001001000000010111011011,602,469,1
malignant (173),malignant,train,1110110011101100111100100000000110000110100010101011111011011100,573,451,1
malignant (174),malignant,train,1000010010010010111100111110000110001101100011010100111000001110,633,581,1
malignant (175),malignant,val,1110111011101110110000011101000110011011101110110100100001010000,564,470,1
malignant (176),malignant,test,1010101010111100110100001100001110000011110001100100011111000111,640,594,1
malignant (177),malignant,train,1110111011001110100000111011100100110000011100010101000101011111,613,581,1
malignant (178),malignant,train,1110110011100000010000011000110110011111101111001010110011000110,562,467,1
malignant (179),malignant,val,1110011110001000100111100001100100111001011000101110011011101110,432,476,1
malignant (18),malignant,val,1000110010011010101100101010011110100101011001010110100101101000,579,437,1
malignant (180),malignant,test,1011010011001000001000110011101101011100111001011001001111110000,562,461,1
malignant (181),malignant,test,1011101010111011100111111001110101011100011010000110000001100000,497,488,1
malignant (182),malignant,train,1011000011000001110011111000111010110100100100101101100111000001,689,583,1
malignant (183),malignant,test,1010000010000100110111111000101010101001101010001011001011100011,557,457,1
malignant (184),malignant,train,1011000111110000110010001000100110011011100011101100110011101100,552,492,1
malignant (185),malignant,train,1001111010110000010000011000110111111011101111001000100011100011,694,582,1
malignant (186),malignant,train,1110000110100101100101011001111010000110110110000101100011011010,566,506,1
malignant (187),malignant,test,1011001011100000010011110001110000111100011111001110000111100010,765,585,1
malignant (188),malignant,train,1011010111010010110010100000110001001111111100101011001010110001,724,473,1
malignant (189),malignant,train,1001011110001101100111011001010111001000100101101001111010001001,433,400,1
malignant (19),malignant,train,1010010011000010010010110011100101101100011001011110000111100011,554,459,1
malignant (190),malignant,train,1010000010000000010011101000110110001101010110110111011001101110,576,427,1
malignant (191),malignant,val,1101011111010100111000001101000111000110110100011001111011010010,673,471,1
malignant (192),malignant,train,1010000110001001010111000111110000110010011000101010011110001111,556,488,1
malignant (193),malignant,test,1111100010100011000011100100110011001000111010000111001110011111,781,574,1
malignant (194),malignant,test,1101110110110101000101001110011001101100000010101101101111100001,923,555,1
malignant (195),malignant,train,1011010011010000100011110000111100111000001100001110110010110111,555,475,1
malignant (196),malignant,train,1011100111110001100001101000111011001100000001011111000011111010,557,465,1
malignant (197),malignant,train,1111000110000111000011101110100010101010100000011101111010111010,552,484,1
malignant (198),malignant,train,1000111010001111101111001011100001111000011100000111001001100010,616,677,1
malignant (199),malignant,train,1011011011100001010001010000101000101001101001111011011010110111,504,473,1
malignant (2),malignant,val,1100000010010011100111011001110001001101111010010100101101010000,548,495,1
malignant (20),malignant,train,1010010011000000100110100010100101101110110101101010010011100111,558,475,1
malignant (200),malignant,train,1000000011010000011111110110101101100011001011000010110010010010,438,463,1
malignant (201),malignant,train,1010001110100001110111001101011000111101001110010100100110000011,678,576,1
malignant (202),malignant,train,1011000111110000110000111000110110001101110011011100010011100100,550,491,1
malignant (203),malignant,train,1110011011111000100110011000111100101110000001100000111001111010,577,411,1
malignant (204),malignant,val,1110011111100110101110110001100100011001000100101011101000101110,875,585,1
malignant (205),malignant,train,1010000110000101100001110101111001001000111111001011010010110010,510,470,1
malignant (206),malignant,train,1011000010011000110010000110111100100110001111110011001111001000,792,571,1
malignant (207),malignant,val,1011100110110011111000101001011011000100110010001110100011111000,557,458,1
malignant (208),malignant,train,1111000111100000100001001001011100011110011101100110001101101011,617,664,1
malignant (209),malignant,train,1011100110000000010001100101111110101111111000110011001000111001,508,471,1
malignant (21),malignant,train,1001110110011110011011110110101110100010101001000110001001100010,601,367,1
malignant (210),malignant,train,1111100110010110000110100110100101100111110110101001111010010000,775,587,1
malignant (22),malignant,train,1110011111010101100110000111100101101011001000111000110110000110,570,474,1
malignant (23),malignant,train,1111100111001001110000100010011000111111000111101001110010001101,569,468,1
malignant (24),malignant,train,1111010010010000100011110110111100101100000100001011001110111011,564,462,1
malignant (25),malignant,train,1111001110010010100011110100110100111100001110001111000011100011,563,470,1
malignant (26),malignant,train,1101000110100010001011101011110111011101110110000001100100011000,564,469,1
malignant (27),malignant,val,1100110111011000111000100010010100010101011011100110101110001011,567,475,1
malignant (28),malignant,train,1000110111010010011000100010010101100101011010110110101110001011,562,470,1
malignant (29),malignant,train,1101101011001000110001010010000100110011101111111001110110001100,567,470,1
malignant (3),malignant,train,1001010111001011011000100011010100111001111110000010001001100111,425,475,1
malignant (30),malignant,train,1111001011010010110010110000100110111101101110001011100010100001,573,468,1
malignant (31),malignant,train,1011110110010101110000100100001101000101001011110110111001111010,723,509,1
malignant (32),malignant,train,1010001011000000110110000000100000101011011101110010111111100111,557,492,1
malignant (33),malignant,val,1011000010011110010011000100100101010110101101001010110110000111,557,496,1
malignant (34),malignant,train,1010011111010011000011011101110000111100101000100110001010110011,620,589,1
malignant (35),malignant,train,1001110110011100111000111100001111100101011000010100000101011011,592,387,1
malignant (36),malignant,train,1010000110111000111100000111001101000011000100110010011110001111,623,494,1
malignant (37),malignant,train,1011110010111100100111100100101101011001000100110000001110110011,626,490,1
malignant (38),malignant,train,1110000110011010010111101010010010110010001100001001111110001101,1048,578,1
malignant (39),malignant,test,1010010111000100110100000001100000111011001010111100011110110111,564,469,1
malignant (4),malignant,train,1001110110000000011000110011111110111000011000100110011001101111,432,473,1
malignant (40),malignant,train,1010011111110101110100000100100000101110001011001011001110110011,548,461,1
malignant (41),malignant,train,1110110010000111101100110011000101110101010111001100110010000011,580,476,1
malignant (42),malignant,train,1010011111000101110100000001100000111011001010010100110111110111,578,439,1
malignant (43),malignant,val,1100001011000010110011110011110100111100101000101100001010001110,543,571,1
malignant (44),malignant,train,1010110111101001110110100001101010010110100101000010111010001101,765,580,1
malignant (45),malignant,train,1110110111000110000010000011100110011101101101001010011110110011,781,592,1
malignant (46),malignant,train,1011110011101010010010010000100011001100110010011110001111100111,785,571,1
malignant (47),malignant,train,1011010011001100110010001000000110100011101101101011101011011010,562,471,1
malignant (48),malignant,train,1101010111100100110010000001101000011011100110111001001111101100,552,493,1
malignant (49),malignant,train,1010010010100110110010111101100110011001001110001000001011000111,622,491,1
malignant (5),malignant,train,1001110110000000011000110011111110111000001000110110011001101111,431,476,1
malignant (50),malignant,train,1110111011000010100001001011010010111000110100111101001111010011,567,469,1
malignant (51),malignant,train,1001000110110100111111100100101101100110110001100110000100100001,588,437,1
malignant (52),malignant,test,1001011110101101111100101111000011001100110010001011000010011001,552,462,1
malignant (53),malignant,train,1111100110010110000001101100101111011001010110011000100111100110,569,471,2
malignant (54),malignant,train,1001111111111001011100001000011010000110100001101010110110111001,777,580,1
malignant (55),malignant,train,1000011111101111001100001110000011111000101001001000001100101111,786,556,1
malignant (56),malignant,train,1000011011001000110010001011010110110011010111100001010010110101,690,538,1
malignant (57),malignant,train,1001011111001011010010000011010100010111000101010110110111101100,717,533,1
malignant (58),malignant,val,1001100111100011110010101001010000011101100111011100100011010010,688,558,1
malignant (59),malignant,val,1011111110101101010001100100011000111010001110011101000111001101,682,561,1
malignant (6),malignant,val,1001000110000000010011100011111101111001011000110010011001101110,432,478,1
malignant (60),malignant,train,1011011111110010010010000100101001101101000001111110010111101001,681,559,1
malignant (61),malignant,val,1011011010001011000010011111110011100100101000000111100111010011,566,462,1
malignant (62),malignant,train,1011000110100011100011110001110000111100000110100100101111110001,693,565,1
malignant (63),malignant,test,1110001110000111100111000100110011100000111010110010011110010110,795,572,1
malignant (64),malignant,test,1101000110010100100001000100001011111010110011111001001111110001,772,479,1
malignant (65),malignant,train,1100000110010100110001100110011001111010000110011100011110000111,922,584,1
malignant (66),malignant,val,1101100010011100110001110110011101111001000110011100010010000110,655,584,1
malignant (67),malignant,test,1101000110000001000001000111111001101110011001110011101110100101,946,604,1
malignant (68),malignant,train,1010100111000101110100101101100000101101011000011111000110110100,574,464,1
malignant (69),malignant,train,1110000010000000100110010001100010010011001111111110011111100110,646,461,1
malignant (7),malignant,train,1001100110000000011001100011101111111001011001010110011001101010,432,474,1
malignant (70),malignant,val,1110000010000000100011000100110110011001001111111011001110110011,668,463,1
malignant (71),malignant,test,1010010011110100110010101000101110111001001111000111010000110000,528,592,1
malignant (72),malignant,val,1110101110100111100101111001101110010001011110000110001001100010,528,598,1
malignant (73),malignant,train,1001100111011111011000101100000011000110101100111100000110001101,549,474,1
malignant (74),malignant,train,1011010111001010011100001110101010000111100100111000001111010011,558,464,1
malignant (75),malignant,train,1010000110000100110101000100101001011110100101101001101010111011,441,412,1
malignant (76),malignant,train,1101000011000100110000001100011110001111100011001101100111011001,769,494,1
malignant (77),malignant,train,1100100011100000101000101001011110001111100110001110011011101000,801,587,1
malignant (78),malignant,train,1000100110000000101001101011111110011000100110011110010011101001,880,567,1
malignant (79),malignant,train,1011110111010000110010110100101100001111101101001011010001111000,564,468,1
malignant (8),malignant,val,1001100110000100011001100011101101111001011001010010011001101110,426,473,1
malignant (80),malignant,val,1000000111000000011000000010000100111101011111100111101101011101,643,443,1
malignant (81),malignant,test,1001010011000100011000000001000010111110010110111101110111001110,764,452,1
malignant (82),malignant,test,1010001111000011110101010100110001111100001110001001100110001011,569,459,1
malignant (83),malignant,train,1010011111011100100110000010001101100111010101001011110011010001,654,616,1
malignant (84),malignant,train,1110010110011101000100110111001101101100010011001011100111000001,649,612,1
malignant (85),malignant,train,1010110010000110100110110111000101100001101011101000011010111100,733,485,1
malignant (86),malignant,test,1010010011000110100110110111100001100101111001101000011010010100,735,483,1
malignant (87),malignant,train,1100110111001001011010110011011010010101100100011111100001101000,561,499,1
malignant (88),malignant,train,1011100110100010111011101001110010001001011010100111001100100101,775,591,1
malignant (89),malignant,train,1111100110000001100000010100111010011111000101110111001111111000,786,585,1
malignant (9),malignant,train,1001100110000100011001100011101101111001011000010010011101101110,430,480,1
malignant (90),malignant,train,1011011011001001000010011110011001101110011100101001001010001111,783,587,1
malignant (91),malignant,train,1110010110010101100111111000111010000000111100101001101011000011,550,494,1
malignant (92),malignant,test,1010011011010011000011011101110100111001101000100110001010110010,617,581,1
malignant (93),malignant,test,1001011011100001101100011001011011011010011011000110100110010001,554,470,1
malignant (94),malignant,train,1101110011100001000101111001111011011000010010010110100111011000,564,452,1
malignant (95),malignant,train,1111010110000101010110001111100010000111111110100101001111000100,781,486,1
malignant (96),malignant,train,1110001110000011010111000111110010000001101111111101000011001100,560,483,1
malignant (97),malignant,train,1110000110000011010111000111110010000001101111111101000011000101,583,486,1
malignant (98),malignant,train,1101000011000100001001010110011001011010011110101111100011001010,770,486,1
malignant (99),malignant,val,1001010011101000001010110110011101010110000111001101110011000100,550,486,1
normal (1),normal,val,1000010010100000011110011100010011110100110110011001001110100011,568,470,1
normal (10),normal,train,1111100010111001100001010000010000110110101111101011101011101000,501,485,1
normal (100),normal,test,1101111010100000101100110100011101011111000111110000000110001111,690,574,1
normal (101),normal,val,1000001111000101011010100100101000010101000101011100011011111110,678,572,1
normal (102),normal,train,1100010111110100001010100010100111100010100011100010011100110111,770,576,1
normal (103),normal,train,1000000010110011011111101000100001100001011100001001100110011011,772,574,1
normal (104),normal,train,1101001110011000001010101010010100110011110010111100111010010101,550,471,1
normal (105),normal,train,1010011111010101111110000010101010001011110100011000100110101001,562,463,1
normal (106),normal,train,1000000010011101011110101110001110010100011100000011100110110000,558,468,1
normal (107),normal,train,1101001110011010001010101010010100110001010011111100111010010101,560,468,1
normal (108),normal,train,1011010111001000001010100101101110111100110001100110011001100110,770,589,1
normal (109),normal,train,1011110110111001111010010110001001101010110010101100011010100001,557,475,1
normal (11),normal,train,1011001111111100011011000000100010010001100111011110101011010001,752,576,1
normal (110),normal,train,1100000010000000000111111110000111110011100111101010011010110000,552,468,1
normal (111),normal,train,1100010000111010011101101110010010001001111100001010010010001111,913,663,1
normal (112),normal,test,1110001110111000000110000001010111010111110011111001101010100010,929,655,1
normal (113),normal,train,1001111011101011111101000101001001110010101011001000100110010010,948,704,1
normal (114),normal,train,1110010010011000001110110100001110110100111010001001110110101100,916,700,1
normal (115),normal,train,1010001011011011110111011110110110000000100101000011010001000110,556,494,1
normal (116),normal,train,1100000011101010000100001010010101111101110100001010001010111101,785,585,1
normal (117),normal,train,1010110011101111010101111001100001100010100100000001101111110000,770,574,1
normal (118),normal,train,1001100001101011011011011100000011100010101001101101111010000010,928,695,1
normal (119),normal,train,1100000011011000101010101100001010111011001010111100000111010001,552,486,1
normal (12),normal,train,1011110010011110011001110110000011011000101111001100011011000001,779,583,1
normal (120),normal,train,1011110111011001111001100110111001001011100100000011011110000100,772,578,1
normal (121),normal,train,1100000110110100111110100010101000101110001010010110100110011001,550,465,1
normal (122),normal,train,1100000010111110011010010111100010010000110000101000101110011011,766,578,1
normal (123),normal,train,1101000111010010001011100000110011001010111001011101000111011001,685,558,1
normal (124),normal,val,1010100110101100010111100001011100011110010010101101100010011001,811,712,1
normal (125),normal,train,1001010111100101011010101001101111101100100100001000001111000110,558,471,1
normal (126),normal,train,1110111010101000100110010001010110010110110001110101001111110010,765,601,1
normal (127),normal,train,1100000110110101011011101011000110101101100000110100110111000000,555,467,1
normal (128),normal,train,1111000110010001101011101110110101101101001111000000010011100100,622,596,1
normal (129),normal,train,1110010010001100110110101111001000101110001110010001000011110110,617,684,1
normal (13),normal,val,1000110010110000010110011100101101110001111010101001000011100101,779,574,1
normal (130),normal,train,1001011010110101111011010110100100001011000110110100010010011100,739,477,1
normal (131),normal,train,1001011011110100010010010000100100001011110001101001011100111111,669,574,1
normal (132),normal,train,1110001110111010000001000110010101110010101010011011010110001111,857,700,1
normal (133),normal,val,1001011110011111011010110110111011000001100000011100000111000101,560,471,1
normal (14),normal,train,1110110111000011001111000000111011101110100110100000100111100110,765,581,1
normal (15),normal,train,1110111010010000001100010100101101001110111111001100011110101001,554,464,1
normal (16),normal,train,1100000010111011011111100111110000000110110000101000001110010001,566,464,1
normal (17),normal,train,1000011110100001101110011001111101101100011010000010101010001110,560,465,1
normal (18),normal,train,1001100010100100101001011001100101011101011101100000111011001100,562,473,1
normal (19),normal,train,1001011011110100010010010000100100001011110001101001011100111111,660,566,1
normal (2),normal,val,1000001110001100011110010001111100111100011010001011100010010110,552,471,1
normal (20),normal,train,1110001110111010000001000110010101111010101011011000110110001101,851,687,1
normal (21),normal,train,1111001111010011101111100010110001000101010011011100001011010010,545,463,1
normal (22),normal,test,1001011111100101011010101001101111101100100100101000001110000110,552,470,1
normal (23),normal,test,1100101010111011001001000001010100000011011001101100101111111100,763,578,1
normal (24),normal,train,1111000110010001101011101110111101101111001111000000010001000100,626,573,1
normal (25),normal,train,1100000010111110011010110111100010010000110000001000101110011011,781,571,1
normal (26),normal,test,1001011010110100111011010110100100001011000110110110010010011100,738,475,1
normal (27),normal,test,1010100110101100010111100001011100011111010010100101100000011101,804,707,1
normal (28),normal,train,1110111010101100100110011001010110010110110000100101001111110010,761,619,1
normal (29),normal,val,1101000111010010001011100000110001001000111001111111000111011001,679,567,1
normal (3),normal,train,1000001110000000111110000101010100011101011110100011101010101110,554,465,1
